epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.384,1.58274,0.74167,0.975,1.07006,0.00029,0.00029,0.00029
2,82.2657,0.78411,0.9,1,0.32553,0.000578318,0.000578318,0.000578318
3,121.946,0.38575,0.94167,1,0.18838,0.000854756,0.000854756,0.000854756
4,162.191,0.25275,0.94167,1,0.13845,0.0009406,0.0009406,0.0009406
5,201.9,0.21153,0.95,1,0.15002,0.0009208,0.0009208,0.0009208
6,241.359,0.18393,0.95833,1,0.14893,0.000901,0.000901,0.000901
7,281.21,0.13362,0.95,1,0.13278,0.0008812,0.0008812,0.0008812
8,321.171,0.15049,0.95833,1,0.15414,0.0008614,0.0008614,0.0008614
9,361.072,0.16161,0.94167,1,0.13045,0.0008416,0.0008416,0.0008416
10,400.554,0.12713,0.95,1,0.15403,0.0008218,0.0008218,0.0008218
11,440.127,0.12137,0.95,1,0.15082,0.000802,0.000802,0.000802
12,480.31,0.10217,0.95,1,0.17409,0.0007822,0.0007822,0.0007822
13,519.814,0.11571,0.94167,1,0.17924,0.0007624,0.0007624,0.0007624
14,559.235,0.11022,0.95,1,0.18417,0.0007426,0.0007426,0.0007426
15,598.518,0.09941,0.95,1,0.16662,0.0007228,0.0007228,0.0007228
16,638.798,0.10851,0.95,1,0.14596,0.000703,0.000703,0.000703
17,678.69,0.07138,0.94167,1,0.16308,0.0006832,0.0006832,0.0006832
18,718.431,0.06082,0.95833,1,0.21322,0.0006634,0.0006634,0.0006634
19,758.448,0.05762,0.95833,1,0.21232,0.0006436,0.0006436,0.0006436
20,798.162,0.02991,0.93333,1,0.2271,0.0006238,0.0006238,0.0006238
21,837.771,0.06659,0.94167,1,0.19226,0.000604,0.000604,0.000604
22,877.707,0.04538,0.93333,1,0.20815,0.0005842,0.0005842,0.0005842
23,918.068,0.03214,0.95833,1,0.19187,0.0005644,0.0005644,0.0005644
24,957.772,0.05293,0.95833,1,0.1837,0.0005446,0.0005446,0.0005446
25,997.549,0.04196,0.95833,1,0.16617,0.0005248,0.0005248,0.0005248
26,1037.21,0.07538,0.95833,1,0.13404,0.000505,0.000505,0.000505
27,1077.57,0.03747,0.95,1,0.14838,0.0004852,0.0004852,0.0004852
28,1116.96,0.05733,0.95,1,0.14505,0.0004654,0.0004654,0.0004654
29,1156.69,0.06526,0.95833,1,0.15071,0.0004456,0.0004456,0.0004456
30,1196.31,0.06916,0.95833,1,0.11265,0.0004258,0.0004258,0.0004258
31,1235.81,0.03817,0.95833,1,0.10602,0.000406,0.000406,0.000406
32,1275.7,0.03344,0.95,1,0.10443,0.0003862,0.0003862,0.0003862
33,1315.45,0.02921,0.95,1,0.12517,0.0003664,0.0003664,0.0003664
34,1355.33,0.03608,0.94167,1,0.14859,0.0003466,0.0003466,0.0003466
35,1395.18,0.02839,0.94167,1,0.13442,0.0003268,0.0003268,0.0003268
36,1435.29,0.0277,0.94167,1,0.1466,0.000307,0.000307,0.000307
37,1475.64,0.04051,0.95,1,0.13575,0.0002872,0.0002872,0.0002872
38,1515.65,0.04408,0.95,1,0.13723,0.0002674,0.0002674,0.0002674
39,1555.67,0.03216,0.95,1,0.15191,0.0002476,0.0002476,0.0002476
40,1595.37,0.03152,0.95,1,0.16745,0.0002278,0.0002278,0.0002278
41,1635.52,0.01791,0.95833,1,0.1452,0.000208,0.000208,0.000208
42,1676.07,0.02225,0.95,1,0.14644,0.0001882,0.0001882,0.0001882
43,1716.06,0.02702,0.95833,1,0.15233,0.0001684,0.0001684,0.0001684
44,1756.12,0.02331,0.95833,1,0.15499,0.0001486,0.0001486,0.0001486
45,1795.84,0.02886,0.95833,1,0.14319,0.0001288,0.0001288,0.0001288
46,1835.98,0.03389,0.95833,1,0.12548,0.000109,0.000109,0.000109
47,1876.01,0.02151,0.95833,1,0.11852,8.92e-05,8.92e-05,8.92e-05
48,1916.35,0.02782,0.95833,1,0.13348,6.94e-05,6.94e-05,6.94e-05
49,1956.15,0.02148,0.95833,1,0.13355,4.96e-05,4.96e-05,4.96e-05
50,1996.26,0.03466,0.95833,1,0.11937,2.98e-05,2.98e-05,2.98e-05
